10X440,X440,DeWitt Clinton High School,DOE,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jul 1 1929,Open,X440,100 WEST MOSHOLU PARKWAY SOUTH,BRONX,NY,10468,10,10,X810,COMMUNITY SCHOOL DISTRICT 10
10X353,X353,World View High School,DOE,General Academic,High school,09 SE,09 10 11 12,Jul 1 2013,Open,X440,100 WEST MOSHOLU PARKWAY SOUTH,BRONX,NY,10468,10,10,X810,COMMUNITY SCHOOL DISTRICT 10
27Q410,Q410,Beach Channel High School,DOE,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jul 1 1973,Open,Q410,100-00 BEACH CHANNEL DRIVE,QUEENS,NY,11694,27,27,Q827,COMMUNITY SCHOOL DISTRICT 27
27Q262,Q262,Channel View School for Research,DOE,General Academic,Secondary School,06 07 08 09 10 11 12 SE,06 07 08 09 10 11 12,Sep 8 2004,Open,Q410,100-00 BEACH CHANNEL DRIVE,QUEENS,NY,11694,27,27,Q827,COMMUNITY SCHOOL DISTRICT 27
12X006,X006,P.S. 006 West Farms,DOE,General Academic,Elementary,PK 0K 01 02 03 04 05 06 SE,PK 0K 01 02 03 04 05,Jul 1 1904,Open,X006,1000 EAST TREMONT AVENUE,BRONX,NY,10460,12,12,X812,COMMUNITY SCHOOL DISTRICT 12
09X325,X325,Urban Science Academy,DOE,General Academic,Junior High-Intermediate-Middle,05 06 07 08 SE,05 06 07 08,Sep 8 2004,Open,X145,1000 TELLER AVENUE,BRONX,NY,10456,9,9,X809,COMMUNITY SCHOOL DISTRICT 09
09X328,X328,New Millennium Business Academy Middle School,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,6/7/2008,Sep 8 2004,Open,X145,1000 TELLER AVENUE,BRONX,NY,10456,9,9,X809,COMMUNITY SCHOOL DISTRICT 09
09X145,X145,J.H.S. 145 Arturo Toscanini,DOE,General Academic,Junior High-Intermediate-Middle,05 06 07 08 SE,05 06 07 08,Jul 1 1965,Open,X145,1000 TELLER AVENUE,BRONX,NY,10456,9,9,X809,COMMUNITY SCHOOL DISTRICT 09
18K211,K211,I.S. 211 John Wilson,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,6/7/2008,Jul 1 1958,Open,K211,1001 EAST 100 STREET,BROOKLYN,NY,11236,18,18,K818,COMMUNITY SCHOOL DISTRICT 18
84K724,K724,Leadership Prep Canarsie Charter School (Leadership Prep CS 4),Charter,General Academic,K-8,0K 01 02 03 05 06 07 08,0K 01 02 03 04 05,Jul 1 2013,Open,K211,1001 EAST 100 STREET,BROOKLYN,NY,11236,18,84,K01D,OFFICE OF CHARTER SCHOOLS
